Iesniegts;Grupa;Tips;Veids;Problēma;Departaments;Apstrādē;Status
"﻿""2018-06-29 23:30:40""";Auto novietošana;Neatļauta novietošana;;Neatļauta parkošanās ;Cēsu novada Pašvaldības policija;01h 25m 33s;Izpildītie
"﻿""2018-07-01 14:42:52""";Auto novietošana;Neatļauta novietošana;;neatļauta parkošanās ,citi autovadītāji netiek garām un pārvietojas pa zaļo zonu un bordu;Cēsu novada Pašvaldības policija;00h 25m 53s;Izpildītie
"﻿""2018-07-01 19:30:35""";Auto novietošana;Neatļauta novietošana;;"vai šaja gadījumā auto ir atļauts tur stāvēt? nevar parredzet no lejas braucosas masinas. ja brauc,nav kur &#039;kabata&#039; iebraukt. ";Cēsu novada Pašvaldības policija;00h 35m 27s;Izpildītie
"﻿""2018-07-01 20:14:08""";Auto novietošana;Neatļauta novietošana;;varbut pec si auto registracijas numura policija var uzsakt administrativa parkapuma lietvedibu. saimnieku var atrast, pieradijums-mans foto;Cēsu novada Pašvaldības policija;00h 43m 03s;Izpildītie
"﻿""2018-07-02 18:37:52""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Nav izvesti atkritumi;Akmens 2. Teritorija no ceturtdienas, 28.06.2018, nav kopta. Papīri nav savākti, ietves nav slaucītas. Par ko es maksāju sētniecei???;Cēsu novada Komunālā nodaļa;16h 54m 04s;Noraidītie
"﻿""2018-07-04 14:41:29""";Auto novietošana;Neatļauta novietošana;;Darzniecibas iela!;Cēsu novada Pašvaldības policija;00h 19m 30s;Izpildītie
"﻿""2018-07-04 19:45:38""";Apgaismojums;Ielu apgaismojums;Atvērtas tehniskās durvis;Jaunajās Zvanu klinšu takā pie pašām klintīm barjera nedaudz bojāta;Cēsu novada Komunālā nodaļa;17h 35m 09s;Izpildītie
"﻿""2018-07-04 19:46:07""";Apgaismojums;Ielu apgaismojums;Bojāts apgaismes stabs;Jaunajās Zvanu klinšu takā pie pašām klintīm barjera nedaudz bojāta;Cēsu novada Komunālā nodaļa;17h 32m 27s;Izpildītie
"﻿""2018-07-04 21:19:55""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Kopš koku zaru apzāğēšanas palikusi pagaidu ceļa zīme.;Cēsu novada Komunālā nodaļa;14h 32m 44s;Izpildītie
"﻿""2018-07-05 13:19:14""";Vide;Koki un apstādījumi;Izpostīti apstādījumi;Vai tas ir dedzinats ? Sadu skumju skatu sastapu erglu kkintis :( ;Cēsu novada Pašvaldības policija;00h 23m 49s;Izpildītie
"﻿""2018-07-05 22:41:33""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Aizaudzis krūms. Neredz mašīnas, kas nāk uz pilsētu pa Rīgas ielu;Cēsu novada Komunālā nodaļa;12h 27m 03s;Izpildītie
"﻿""2018-07-06 14:18:29""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu namu aprīkojums;Bērnu laukums;Mājiņai kokā augšējā stāvā nav margu. Bērni var nokrist!;Cēsu novada Komunālā nodaļa;94h 48m 09s;Izpildītie
"﻿""2018-07-07 10:44:26""";Ielas un ceļi;Ceļa aprīkojums;Bojāta atdalošā barjera;Puķupods blakus gājēju pārejai aizsedz potenciālos tās izmantotājus. ;Cēsu novada Komunālā nodaļa;74h 35m 11s;Izpildītie
"﻿""2018-07-07 21:21:05""";Sabiedriskā kārtība;Satiksmes noteikumu neievērošana;Agresīva braukšana (trokšņošana);Vai gludas gravas jaunizveidotais gajeju celiņš ir paredzets lai pa to braukatu berni ar kvadracikiem? ;Cēsu novada Pašvaldības policija;00h 50m 32s;Izpildītie
"﻿""2018-07-08 10:00:35""";Ielas un ceļi;Ceļa segums;Bedres;Labdien. Pēc katra lietus bedre paliek lielāka.;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-07-08 10:04:11""";Ielas un ceļi;Ceļa aprīkojums;Nedarbojas luksofors;~ 2 mēnešus luksaforā nedarbojās dzeltanā gaisma.;Cēsu novada Komunālā nodaļa;52h 14m 28s;Izpildītie
"﻿""2018-07-10 01:10:48""";Sabiedriskā kārtība;Cilvēki;Trokšņo;Diezgan skaļi jaunieši jau kādu laiku trokšņo centrā;Cēsu novada Pašvaldības policija;00h 44m 22s;Izpildītie
"﻿""2018-07-10 11:21:58""";Vide;Nesakopta teritorija;Nenopļauta zāle;Šīs teritorijas saimnieks šogad vispār nav pļāvis zāli...;Cēsu novada Pašvaldības policija;03h 02m 54s;Izpildītie
"﻿""2018-07-11 19:37:09""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;uz ielas guļ iedzēris cilveks;Cēsu novada Pašvaldības policija;00h 47m 53s;Izpildītie
"﻿""2018-07-11 19:44:40""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Guļ vīrietis!!!;Cēsu novada Pašvaldības policija;00h 38m 38s;Izpildītie
"﻿""2018-07-12 16:04:54""";Ielas un ceļi;Ceļa segums;Bedres;Ìsi pirms dzelzceĺa ir vairàkas mazas bedrìtes, kas pamazàm veidojas par lielàkàm.Traucè satiksmei. Paśreiz jau prasàs apbraukt. ;Cēsu novada Komunālā nodaļa;93h 11m 31s;Izpildītie
"﻿""2018-07-13 10:48:25""";Ielas un ceļi;Ceļa segums;Bedres;kapec nav iepriekseja bridinajuma, ka izraktas bedres Raina/Puces ielas krustojuma? sodien neviena stradnieka, bedres stav. masina jalauz :@;Cēsu novada Komunālā nodaļa;74h 24m 24s;Izpildītie
"﻿""2018-07-13 19:28:41""";Ielas un ceļi;Ceļa segums;Bedres;kapec bedres Pūces ielā, Pūces/Raiņa ielas krustojuma nav aizbertas? stradnieki sod nestradaja! bedres dzilas, neapbraucamas :@ briesmigi!!!;Cēsu novada Komunālā nodaļa;65h 43m 02s;Izpildītie
"﻿""2018-07-14 14:27:20""";Ielas un ceļi;Ceļa nomale;Bojāta apmale;izskalots.. ;Cēsu novada Komunālā nodaļa;69h 33m 51s;Izpildītie
"﻿""2018-07-14 18:44:58""";Ielas un ceļi;Ceļa segums;Smilšu vanna;pēc lietus;Cēsu novada Komunālā nodaļa;42h 16m 21s;Izpildītie
"﻿""2018-07-16 12:32:25""";Sabiedriskā kārtība;Cilvēki;Trokšņo;kur var atrast pilsetas svetku programmu?;Cēsu novada Pašvaldības policija;00h 04m 57s;Izpildītie
"﻿""2018-07-16 13:45:05""";Daudzdzīvokļu namu apsaimniekošana;Ūdens apgāde un kanalizācija;;Labdien, man interesētu kāpēc mums nau siltais ūdens?;Cēsu novada Komunālā nodaļa;22h 30m 13s;Noraidītie
"﻿""2018-07-17 23:14:29""";Ielas un ceļi;Ceļa segums;Nav greiderēts;Nogreiderēt lūdzu ceļu kas iet caur veismaņiem uz krīviem. Baigā trepe. Ar riteni vispār nevar pabraukt.;Cēsu novada Komunālā nodaļa;68h 17m 34s;Izpildītie
"﻿""2018-07-18 09:22:10""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;iztrūkstošais posms- grāvmalē.;Cēsu novada Komunālā nodaļa;57h 43m 03s;Izpildītie
"﻿""2018-07-18 13:15:14""";Sabiedriskā kārtība;Atkritumi;Nesakopta teritorija;Nav ilgi izvesti atkritumi;Cēsu novada Pašvaldības policija;00h 26m 25s;Izpildītie
"﻿""2018-07-19 21:39:55""";Ielas un ceļi;Ceļa segums;Bedres;Vāveres ieā dziļa bedre;Cēsu novada Komunālā nodaļa;21h 24m 06s;Izpildītie
"﻿""2018-07-20 09:15:58""";Ielas un ceļi;Ceļa nomale;Nolūzis koks (bīstams koks);Vakar viesulī lauzta kļava, bojāta sēta. Lūdzu apsekot negadījuma vietu, novērst nekārtības, novērtēt koka drošību pret apkārtējo vidi;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-07-21 16:31:23""";Auto novietošana;Neatļauta novietošana;;Mašīnas ir novietotas zem zīmes kur aizliegts stāvēt, ejot pa ietvi ar ratiem kad brauc pretī mašīna nevar izmainīties. ;Cēsu novada Pašvaldības policija;00h 47m 28s;Izpildītie
"﻿""2018-07-22 23:57:39""";Sabiedriskā kārtība;Cilvēki;Trokšņo;Valmieras iela 21. dzīvoklis xx. Ģimenes strīds. iereibuši jaunieši pie atvērta loga strīdās. Traucē nakts mieru . kaimiņos mazi bērni.;Cēsu novada Pašvaldības policija;00h 23m 23s;Izpildītie
"﻿""2018-07-23 10:39:58""";ŪK maģistrālie tīkli;Ūdensvads;;Kādēļ iedzīvotāji netiek brīdināti par ūdensvada remontu? Ausekļu iela xx.;Cēsu novada Komunālā nodaļa;48h 44m 17s;Izpildītie
"﻿""2018-07-23 11:20:37""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrītas smiltis no braucamās daļas;Piemēslota Dubinskas dīķu apkārtne.;Cēsu novada Komunālā nodaļa;48h 06m 05s;Izpildītie
"﻿""2018-07-23 11:24:26""";Daudzdzīvokļu namu apsaimniekošana;Ūdens apgāde un kanalizācija;;Nesakopta teritorija Zvirbuļu xx. Invazīvie augi apdraud kaimiņu teritorijas.;Cēsu novada Komunālā nodaļa;01h 34m 00s;Izpildītie
"﻿""2018-07-23 14:23:21""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;Egļu ielas, visa garumā, dzīvo daudz bērni. Lūdzu uzstādīt dzīvojamās zonas ceļā zimi, lai ierobežotu ātrumu, tāda veida paaugstinot drošību;Cēsu novada Komunālā nodaļa;45h 04m 12s;Izpildītie
"﻿""2018-07-23 14:25:40""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Lūdzu salabot, atjaunot un, pec nepieciesamibas, uzstādīt jaunas apgaismojuma laternas Egļu un Priedes ielas.;Cēsu novada Komunālā nodaļa;44h 56m 28s;Izpildītie
"﻿""2018-07-24 15:34:32""";Vide;Nesakopta teritorija;Nesakopts īpašums;Latvāņi zemes gabalā starp Lapsu, Vaives, A.Kronvalda, Vilku ielām.;Cēsu novada Pašvaldības policija;23h 52m 40s;Izpildītie
"﻿""2018-07-24 17:27:00""";Ielas un ceļi;Ceļa nomale;Nolūzis koks (bīstams koks);Izaugušo krūmu dēļ, uz ietves ir apgrūtināta kustība gājējiem, īpaši vecākiem ar bērnu ratiņiem utt. ;Cēsu novada Komunālā nodaļa;45h 28m 43s;Izpildītie
"﻿""2018-07-24 18:27:50""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;Labdien. Vai ir iespējams uzstādīt ceļazīmi , kas norādītu ka ir t -veida krustojums un ir straujš pagrieziens pa kreisi? It sevišķi ziemā! ;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-07-25 12:38:19""";Vide;Nesakopta teritorija;Nenopļauta zāle;Labdien!Ņemot vērā,ka iesniegumā minētā teritorija vēl joprojam nav sakopta, lūdzu sniegt informāciju par to,kad (d.m.g) tā tiks sakopta?;Cēsu novada Pašvaldības policija;00h 37m 13s;Izpildītie
"﻿""2018-07-25 19:12:53""";Ielas un ceļi;Ceļa aprīkojums;Nedarbojas luksofors;Kāpēc nerbojas luksofori Palasta, Gaujas un Lenču, Palasta. Kāpēc apdraudat kustības drošību? Kas ir idejas autors? ;Cēsu novada Komunālā nodaļa;16h 57m 38s;Izpildītie
"﻿""2018-07-26 11:49:23""";Vide;Nesakopta teritorija;Nesavākti atkritumi;Atkritumi pēc fono cēsis;Cēsu novada Pašvaldības policija;02h 55m 25s;Izpildītie
"﻿""2018-07-27 18:19:26""";Vide;Infrastruktūras bojājumi;;Labdien, kur piemineklim, pilsētas centrā, ir zelta bumba pazudusi? ;Cēsu novada Pašvaldības policija;14h 46m 29s;Izpildītie
"﻿""2018-07-29 22:19:38""";Apgaismojums;Ielu lampas;;Lūgums veikt Rožu laukuma strūklakas seguma tīrīšanu. ;Cēsu novada Komunālā nodaļa;11h 15m 55s;Izpildītie
"﻿""2018-07-30 12:23:09""";Ielas un ceļi;Ceļa segums;Bedres;kāda jēga salāpīt saanu vietai kurnpilnoba sabrucis segums pat veci asfalta gabali mētājas. naidas izšķiešana.;Cēsu novada Komunālā nodaļa;00h 10m 21s;Izpildītie
"﻿""2018-07-30 15:19:08""";Ielas un ceļi;Sezonālā uzkopšana;Apledojusi braucamā daļa;Dariet lūdzu kaut ko šajā jautājumā;Cēsu novada Komunālā nodaļa;00h 04m 03s;Izpildītie
"﻿""2018-07-31 14:39:48""";Sabiedriskā kārtība;Dzīvnieki;;Pie nama Saules ielā 17b guļ beigts ezītis. Kurš dienests var palīdzēt to nogādāt kādā tam piemērotākā vietā?;Cēsu novada Pašvaldības policija;00h 07m 09s;Izpildītie
"﻿""2018-08-01 14:49:42""";Būvniecība;Citi gadījumi;;"Kur vērsties, lai risinātu jautājumu par preču piegādes automašînām lielveikalam? Stāv ilgstoši pie loga &quot;rūcošas&quot;.";Cēsu novada Būvvalde;19h 29m 11s;Izpildītie
"﻿""2018-08-02 20:40:56""";Auto novietošana;Neatļauta novietošana;;Pie baznīcas;Cēsu novada Pašvaldības policija;00h 11m 49s;Izpildītie
"﻿""2018-08-04 17:48:14""";Vide;Infrastruktūras bojājumi;;Nāk smaka no Cēsu gaļas kombināta, jo neizvesti kautuves atkritumi, kas karstajā laikā sadalās un smird!;Cēsu novada Pašvaldības policija;44h 42m 33s;Izpildītie
"﻿""2018-08-04 23:53:48""";Sabiedriskā kārtība;Cilvēki;Trokšņo;kaimiņi skaļi klausās mūziku, traucē naktsmieru. šobrīd 23:53;Cēsu novada Pašvaldības policija;00h 12m 17s;Izpildītie
"﻿""2018-08-05 01:46:31""";Būvniecība;Citi gadījumi;;nakts miera traucēšana;Cēsu novada Būvvalde;00h 13m 36s;Izpildītie
"﻿""2018-08-05 21:24:45""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Izveidota nelegāla izgāztuve;Šeit visu laiku tiek vesti atkritumi, starp tiem arī šīferis. To redzot, arī citi šeit sāk vest atkritumus, piem. izgāzti klozetpodi ceļmalā;Cēsu novada Komunālā nodaļa;40h 24m 26s;Izpildītie
"﻿""2018-08-06 19:15:17""";ŪK maģistrālie tīkli;Kanalizācija;;Oktobra un Ezera ielas krust. lietus laikā  notekaka aiziet ciet no  akmeņainās grants, kas tiek saskalota no ceļa malām un uz ceļa;Cēsu novada Komunālā nodaļa;15h 38m 07s;Izpildītie
"﻿""2018-08-06 19:21:13""";Apgaismojums;Ielu apgaismojums;;Varbūt ir iespēja rast risinājumu, jo ne vienmēr lietus laikā ir mājās, lai to iztīrītu. Varbūt varētu,  kā Dzintara ielā?;Cēsu novada Komunālā nodaļa;15h 31m 19s;Izpildītie
"﻿""2018-08-06 20:04:13""";Apgaismojums;Daudzdzīvokļu ēku pagalmu apgaismojums;Nedeg viena vai vairākas laternas;Oktobra, Ezera ielas krust. no ceļu malām lietus laikā tiek notekaka aizsista ciet ar akmeņaino granti un ceļš viss ar smiltīm   ;Cēsu novada Komunālā nodaļa;14h 47m 27s;Izpildītie
"﻿""2018-08-06 20:06:46""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;Labdien!Lūdzu izskatīt iespēju Pāvila ielas bērnu,iedzīvotāju drošībai uzstādīt ceļa zīmi Dzīvojamā zona.Ātro braucēju dēļ bīstami,putekļi.;Cēsu novada Komunālā nodaļa;14h 44m 08s;Izpildītie
"﻿""2018-08-06 20:08:49""";Ielas un ceļi;Ceļa segums;Smilšu vanna;Varbūt var rast risinājumu? Viss tiek saskalots uz ceļa un notekakā. Sausā laikā griežas putekļi;Cēsu novada Komunālā nodaļa;14h 40m 45s;Izpildītie
"﻿""2018-08-06 22:49:27""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Bernu spēļlaukuma pie galda izskatas ka lieto alkaholu un smēķē. Viestura daudzivoklu maju pagalma pie liela bērza. ;Cēsu novada Pašvaldības policija;11h 44m 21s;Izpildītie
"﻿""2018-08-07 11:16:41""";Auto novietošana;Neatļauta novietošana;;Labdien. Kā lai iemāca šoferiem nestāties uzreiz pie gājēju pārejām? Neredz ne gājēji ielu, ne šoferi-gājēju.;Cēsu novada Pašvaldības policija;02h 30m 01s;Izpildītie
"﻿""2018-08-08 12:43:38""";Auto novietošana;Neatļauta novietošana;;pie baznīcas;Cēsu novada Pašvaldības policija;00h 27m 45s;Izpildītie
"﻿""2018-08-10 16:31:21""";Ielas un ceļi;Sezonālā uzkopšana;Lapas uz braucamās daļas;Nolūzuši zari Piebalgas/Dārzniecības ielu stūrī!;Cēsu novada Komunālā nodaļa;64h 08m 33s;Izpildītie
"﻿""2018-08-11 15:15:51""";Auto novietošana;Neatļauta novietošana;;Raiņa irla 14. Masina novietota neatlauta vieta;Cēsu novada Pašvaldības policija;01h 38m 27s;Izpildītie
"﻿""2018-08-11 20:43:23""";Auto novietošana;Neatļauta novietošana;;Vai tiešām śādi drīkst novietot mašīnas stāvēśanai?;Cēsu novada Pašvaldības policija;00h 25m 38s;Izpildītie
"﻿""2018-08-12 11:13:26""";Vide;Infrastruktūras bojājumi;;Atkal nāk smaka no Cēsu gaļas kombināta!;Cēsu novada Pašvaldības policija;21h 16m 24s;Izpildītie
"﻿""2018-08-14 12:42:01""";Vide;Infrastruktūras bojājumi;;Bernu laukums Maija Parkā. Bīstamas šūpoles. Sapuvušas. Bistami zvāstās, kad berni šūpojas. ;Cēsu novada Pašvaldības policija;00h 09m 30s;Izpildītie
"﻿""2018-08-14 12:43:47""";Vide;Infrastruktūras bojājumi;;Šeit bija nokritusi helikopterīša detaļa, ko pērn ienesu iedzīvotaju apkalpošanas centrā. Vel detaļa nav pielikta.;Cēsu novada Pašvaldības policija;00h 07m 18s;Izpildītie
"﻿""2018-08-14 12:45:25""";Vide;Infrastruktūras bojājumi;;Bernu laukums Maija parkā. Arī seit Bija vilcieniņa detaļa. Vairs nav. ;Cēsu novada Pašvaldības policija;00h 04m 57s;Izpildītie
"﻿""2018-08-14 12:47:51""";Vide;Infrastruktūras bojājumi;;Maija parks. Bernu laukums. Sapuvusī konstrukcija, kas tūlīt sagazisies un kādu traumēs.;Cēsu novada Pašvaldības policija;00h 02m 08s;Izpildītie
"﻿""2018-08-14 12:50:03""";Vide;Infrastruktūras bojājumi;;Maija parks, rotaļu laukums. Smilškaste gandrīz bez smiltim. Esošas smird pec kakiem. Trūkst pretkaķu pārklāja. ;Cēsu novada Pašvaldības policija;00h 00m 44s;Izpildītie
"﻿""2018-08-16 15:20:37""";Auto novietošana;Neatļauta novietošana;;Auto ar valsts numuru xx-xxxx novietots pie A.Šmita fotosalona, krustojumā.;Cēsu novada Pašvaldības policija;01h 26m 21s;Izpildītie
"﻿""2018-08-16 20:20:04""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Sēž Zvirbuļielas pieturā netālu Rīgas un lieto alkoholiskus dzērienus:( ;Cēsu novada Pašvaldības policija;00h 19m 46s;Izpildītie
"﻿""2018-08-17 14:16:30""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;apdzēries pie ielas guļ;Cēsu novada Pašvaldības policija;00h 21m 57s;Izpildītie
"﻿""2018-08-19 19:06:11""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Gułošs vīrietis.;Cēsu novada Pašvaldības policija;00h 11m 48s;Izpildītie
"﻿""2018-08-20 18:47:04""";Vide;Infrastruktūras bojājumi;;Stipra smaka no Cēsu gaļas kombināta!;Cēsu novada Pašvaldības policija;00h 55m 31s;Izpildītie
"﻿""2018-08-21 10:16:16""";Ielas un ceļi;Ceļa nomale;Bojāta apmale;Atkārtoti ziņoju, ka gājēju celiņam Pils laukums 1 jūk bruģis, vienreiz jau bija mēģinājums sakārtot, taču brūk atkal.;Cēsu novada Komunālā nodaļa;27h 23m 41s;Izpildītie
"﻿""2018-08-21 10:20:50""";Auto novietošana;Neatļauta novietošana;;Uz gājēju joslas;Cēsu novada Pašvaldības policija;00h 40m 26s;Izpildītie
"﻿""2018-08-21 18:25:26""";Vide;Infrastruktūras bojājumi;;Nepieciešamas fiziskas barjeras vai pašvaldības uzraudzība Maija parkā - riteņbraucēji rīko drifta sacīkstes, apzināti bojājot celiņus un ap;Cēsu novada Pašvaldības policija;01h 55m 51s;Izpildītie
"﻿""2018-08-22 13:36:05""";Auto novietošana;Neatļauta novietošana;;Pie pašvaldības policijas ēkas uz torņa ielas vietā kur aizliegts apstāties.Pat vieglās automašīnas ar grūtībām var izbraukt līkumu.;Cēsu novada Pašvaldības policija;00h 20m 53s;Izpildītie
"﻿""2018-08-23 11:25:52""";Ielas un ceļi;Ceļa nomale;Bojāta apmale;Pašlaik notiek ielas seguma remonts, bet vai nebūtu satiksmes drošības dēļ likvidēt līkumā esošo Ceriņa krūmu(pirms mājas nr. 6);Cēsu novada Komunālā nodaļa;22h 11m 50s;Izpildītie
"﻿""2018-08-23 13:25:07""";Vide;Infrastruktūras bojājumi;;Puspuvusi konstrukcija ar kailu skrūvi. ;Cēsu novada Pašvaldības policija;20h 18m 43s;Izpildītie
"﻿""2018-08-23 13:26:31""";Vide;Infrastruktūras bojājumi;;Batutu malas absolūti nedrošas bērniem. Mīkstais segums noplīsis. ;Cēsu novada Pašvaldības policija;20h 20m 34s;Izpildītie
"﻿""2018-08-23 14:02:11""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Bojāta ceļa zīme, galvenais ceļš mainījis virzienu.;Cēsu novada Komunālā nodaļa;21h 29m 04s;Izpildītie
"﻿""2018-08-24 15:46:55""";Auto novietošana;Neatļauta novietošana;;Neatļautā novietošana ;Cēsu novada Pašvaldības policija;00h 49m 42s;Izpildītie
"﻿""2018-08-24 15:47:42""";Auto novietošana;Neatļauta novietošana;;Neatlauta novietošana ;Cēsu novada Pašvaldības policija;00h 45m 04s;Izpildītie
"﻿""2018-08-24 17:52:00""";Vide;Infrastruktūras bojājumi;;Maija parka bērnu laukumā ir bojātās šūpoles. Viens no konstrukcijas galvenajiem stiprinājumiem ir nonācis nost un šūpoles kļuvušas bīstamas;Cēsu novada Pašvaldības policija;63h 22m 48s;Izpildītie
"﻿""2018-08-26 16:55:41""";Auto novietošana;Neatļauta novietošana;;neatlauta vieta;Cēsu novada Pašvaldības policija;00h 24m 14s;Izpildītie
"﻿""2018-08-26 17:34:30""";Auto novietošana;Neatļauta novietošana;;tikko pirms 3 min braucu gar to pasu vietu un auto tur IR!!! acimredzot, policija nekur nav bijusi!;Cēsu novada Pašvaldības policija;00h 49m 31s;Izpildītie
"﻿""2018-08-26 18:28:38""";Auto novietošana;Neatļauta novietošana;;PALDIES par atsaucibu! Lai policija atbrauktu un pati konstatetu klatiene problemu, sutat mani rakstit iesniegumu! super-policija! ;Cēsu novada Pašvaldības policija;38h 33m 00s;Izpildītie
"﻿""2018-08-26 21:51:28""";Apgaismojums;Parka apgaismojums;Nedeg viena vai vairākas laternas;Vai Pils parkā ir kāds ekonomiskais režīms apgaismojumam? ;Cēsu novada Komunālā nodaļa;12h 27m 29s;Izpildītie
"﻿""2018-08-28 13:13:04""";Ielas un ceļi;Ceļa aprīkojums;Bojāta atdalošā barjera;Bojāts ceļa aprīkojums ;Cēsu novada Komunālā nodaļa;27h 35m 03s;Izpildītie
"﻿""2018-08-28 14:12:48""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Deg ielu apgaismojums pie 3 b/d;Cēsu novada Komunālā nodaļa;27h 04m 29s;Izpildītie
"﻿""2018-08-28 17:57:22""";Būvniecība;Citi gadījumi;;Palasta un Bērzaines ielas krustojums. Bojāta marga.;Cēsu novada Būvvalde;22h 51m 05s;Izpildītie
"﻿""2018-08-28 19:15:10""";Auto novietošana;Neatļauta novietošana;;Neatļauta apstāšanās atkārtoti šajā pašā vietā traucējot māju iedzīvotāju parvietošanos;Cēsu novada Pašvaldības policija;00h 48m 25s;Izpildītie
"﻿""2018-08-28 22:58:34""";Auto novietošana;Neatļauta novietošana;;A.m WV xx-xxxx novietota apgrūtinot citu TL kustību mazāk kā 3m no brauktuves un apgrūtinot dienesta TL piekļuvi kāpņu telpai, mazāk kā 2m.;Cēsu novada Pašvaldības policija;10h 09m 12s;Izpildītie
"﻿""2018-08-29 11:55:17""";Vide;Infrastruktūras bojājumi;;"Cilvēki maldās un staigā apkārt stadionam nesaprotot, kur ir ieeja. Trūkst pamanāmas zīmes LV un ENG vai piktogrammas norādi uz ieeju. ;)";Cēsu novada Pašvaldības policija;47h 00m 47s;Izpildītie
"﻿""2018-08-29 17:15:07""";Būvniecība;Citi gadījumi;;nesakopts īpašums,nav nopļauta zāle;Cēsu novada Būvvalde;18h 19m 52s;Izpildītie
"﻿""2018-08-29 18:19:35""";Auto novietošana;Neatļauta novietošana;;Loka 3,atkārtota neatļauta stāvēšana ;Cēsu novada Pašvaldības policija;01h 44m 55s;Izpildītie
"﻿""2018-08-29 20:30:06""";Vide;Infrastruktūras bojājumi;;Ļoti stipra smaka no gaļas kombināta!;Cēsu novada Pašvaldības policija;00h 27m 54s;Izpildītie
"﻿""2018-08-30 16:40:34""";Ielas un ceļi;Ceļa segums;Uz braucamās daļas svešķermeņi;jāieskrūvē skrūves guļošajam policistam, var sadurt riepas ;Cēsu novada Komunālā nodaļa;18h 08m 16s;Izpildītie
"﻿""2018-08-31 20:21:56""";Ielas un ceļi;Ceļa segums;Bedres;Neizbraucams ceļš, lai nokļūtu mājas pagalmā.;Cēsu novada Komunālā nodaļa;139h 51m 04s;Izpildītie
"﻿""2018-08-31 20:34:18""";Auto novietošana;Neatļauta novietošana;;Invalīdu stavvieta;Cēsu novada Pašvaldības policija;00h 14m 07s;Izpildītie
"﻿""2018-09-01 00:03:15""";Auto novietošana;Neatļauta novietošana;;Atkārtota neatļauta parkošanās..REĀLI NETIEKU ĀRA NO PAGALMA NESALAUŽOT MAŠĪNU!!!;Cēsu novada Pašvaldības policija;00h 39m 59s;Izpildītie
"﻿""2018-09-02 19:26:52""";Sabiedriskā kārtība;Cilvēki;Trokšņo;xxxxxxxxx un xxxxxxxx ielas privātmājā regulāri tiek kurināts ugunskurs un apkārtējiem nav ko elpot. Arī šovakar, kad vēja praktiski nav. ;Cēsu novada Pašvaldības policija;00h 27m 07s;Izpildītie
"﻿""2018-09-04 20:54:31""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Cēsīs pie Pāvila iela 8 nedeg vienas lampas apgaismojums ;Cēsu novada Komunālā nodaļa;36h 25m 31s;Izpildītie
"﻿""2018-09-06 17:06:45""";Auto novietošana;Neatļauta novietošana;;Regulāri tiek novietots auto ;Cēsu novada Pašvaldības policija;00h 20m 12s;Izpildītie
"﻿""2018-09-12 11:38:06""";Ielas un ceļi;Ceļa segums;Bedres;Pretī nr.53 ir bedre,nelīdzena brauktuve.Virzienā uz Saulrītiem tajā iebraucot kravas a/m rodas liels troksnis,kas traucē iedz.,nakts mieru.;Cēsu novada Komunālā nodaļa;117h 28m 17s;Izpildītie
"﻿""2018-09-13 15:52:04""";Ielas un ceļi;Ceļa segums;Bedres;bedre, ieliecies asfalts, asa bedre. jāsalabo. lenču iela 16a.;Cēsu novada Komunālā nodaļa;89h 13m 35s;Izpildītie
"﻿""2018-09-14 13:48:17""";Ielas un ceļi;Sezonālā uzkopšana;;Šorīt ap 9.00 Pie Viršu uzpildes stacijas divi dzelzceļa darbinieki veica sliežu un tām piegulošo teritoriju apgaitu,vācot drazu-papirus,pudeles u.c ,taču to visu nesavāca ,bet gan lidinaja no sliedēm pa malām pilsētas teritorijā.Vai tas tā ir vienmēr? ;Cēsu novada Komunālā nodaļa;76h 18m 57s;Izpildītie
